x,y,label,showSelected,PANEL,group
0.485569985569986,0.954545454545455,state = AL,AL,1,1
0.485569985569986,0.954545454545455,state = AZ,AZ,1,3
0.485569985569986,0.954545454545455,state = AR,AR,1,2
0.485569985569986,0.954545454545455,state = CA,CA,1,4
0.485569985569986,0.954545454545455,state = CO,CO,1,5
0.485569985569986,0.954545454545455,state = CT,CT,1,6
0.485569985569986,0.954545454545455,state = DE,DE,1,8
0.485569985569986,0.954545454545455,state = DC,DC,1,7
0.485569985569986,0.954545454545455,state = FL,FL,1,9
0.485569985569986,0.954545454545455,state = GA,GA,1,10
0.485569985569986,0.954545454545455,state = ID,ID,1,12
0.485569985569986,0.954545454545455,state = IL,IL,1,13
0.485569985569986,0.954545454545455,state = IN,IN,1,14
0.485569985569986,0.954545454545455,state = IA,IA,1,11
0.485569985569986,0.954545454545455,state = KS,KS,1,15
0.485569985569986,0.954545454545455,state = KY,KY,1,16
0.485569985569986,0.954545454545455,state = LA,LA,1,17
0.485569985569986,0.954545454545455,state = ME,ME,1,20
0.485569985569986,0.954545454545455,state = MD,MD,1,19
0.485569985569986,0.954545454545455,state = MA,MA,1,18
0.485569985569986,0.954545454545455,state = MI,MI,1,21
0.485569985569986,0.954545454545455,state = MN,MN,1,22
0.485569985569986,0.954545454545455,state = MS,MS,1,24
0.485569985569986,0.954545454545455,state = MO,MO,1,23
0.485569985569986,0.954545454545455,state = MT,MT,1,25
0.485569985569986,0.954545454545455,state = NE,NE,1,28
0.485569985569986,0.954545454545455,state = NV,NV,1,32
0.485569985569986,0.954545454545455,state = NH,NH,1,29
0.485569985569986,0.954545454545455,state = NJ,NJ,1,30
0.485569985569986,0.954545454545455,state = NM,NM,1,31
0.485569985569986,0.954545454545455,state = NY,NY,1,33
0.485569985569986,0.954545454545455,state = NC,NC,1,26
0.485569985569986,0.954545454545455,state = ND,ND,1,27
0.485569985569986,0.954545454545455,state = OH,OH,1,34
0.485569985569986,0.954545454545455,state = OK,OK,1,35
0.485569985569986,0.954545454545455,state = OR,OR,1,36
0.485569985569986,0.954545454545455,state = PA,PA,1,37
0.485569985569986,0.954545454545455,state = RI,RI,1,38
0.485569985569986,0.954545454545455,state = SC,SC,1,39
0.485569985569986,0.954545454545455,state = SD,SD,1,40
0.485569985569986,0.954545454545455,state = TN,TN,1,41
0.485569985569986,0.954545454545455,state = TX,TX,1,42
0.485569985569986,0.954545454545455,state = UT,UT,1,43
0.485569985569986,0.954545454545455,state = VT,VT,1,45
0.485569985569986,0.954545454545455,state = VA,VA,1,44
0.485569985569986,0.954545454545455,state = WA,WA,1,46
0.485569985569986,0.954545454545455,state = WV,WV,1,48
0.485569985569986,0.954545454545455,state = WI,WI,1,47
0.485569985569986,0.954545454545455,state = WY,WY,1,49
